ABL,MCB,ABOT,AICL,AGP,AGIL,ARPL,AKBL,ATLH,APL,ATRL,BAHL,BAFL,BNWM,BWCL,BYCO,CHCC,COLG,DGKC,DAWH,DCR,EFUG,ENGRO,EFERT,EFOODS,EPCL,FATIMA,FCCL,FFC,FFBL,FABL,FHAM,GADT,GHGL,GLAXO,GSKCH,GATM,HBL,HMB,HASCOL,HCAR,IBFL,ICI,IGIHL,INDU,INIL,ISL,JLICL,KEL,KOHC,KTML,KAPCO,LOTCHEM,LUCK,MLCF,MARI,MEBL,MTL,MUREB,NBP,NATF,NRL,NESTLE,NCL,NCPL,NML,OGDC,OLPL,PKGS,PAEL,PSMC,PTC,POL,PPL,PSO,PSX,PAKT,PMPK,PIOC,SPWL,SRVI,SHEL,SHFA,SCBPL,SNGP,SSGC,SYS,THALL,BOP,HUBC,SEARL,UBL
ALLIED BANK - TOT RETURN IND,MCB BANK - TOT RETURN IND,ABBOTT LABS.(PAK.) - TOT RETURN IND,ADAMJEE INSURANCE COMPANY - TOT RETURN IND,AGP - TOT RETURN IND,AGRIAUTO INDUSTRIES - TOT RETURN IND,ARCHROMA PAKISTAN - TOT RETURN IND,ASKARI BANK - TOT RETURN IND,ATLAS HONDA - TOT RETURN IND,ATTOCK PETROLEUM - TOT RETURN IND,ATTOCK REFINERY - TOT RETURN IND,BANK AL HABIB - TOT RETURN IND,BANK AL-FALAH LIMITED - TOT RETURN IND,BANNU WOOLLEN MILLS - TOT RETURN IND,BESTWAY CEMENT - TOT RETURN IND,BYCO PETROLEUM PAKISTAN - TOT RETURN IND,CHERAT CEMENT COMPANY - TOT RETURN IND,COLGATE-PALMOLIVE PAKISTAN - TOT RETURN IND,D G KHAN CEMENT COMPANY - TOT RETURN IND,DAWOOD HRC.CHEMS.CORP. - TOT RETURN IND,DOLMEN CITY - TOT RETURN IND,EFU GENERAL INSURANCE - TOT RETURN IND,ENGRO - TOT RETURN IND,ENGRO FERTILIZERS - TOT RETURN IND,ENGRO FOODS - TOT RETURN IND,ENGRO POLYMER & CHEMICALS - TOT RETURN IND,FATIMA FERTILIZER - TOT RETURN IND,FAUJI CEMENT COMPANY - TOT RETURN IND,FAUJI FERTILIZER COMPANY - TOT RETURN IND,FAUJI FTLZ.BIN QASIM - TOT RETURN IND,FAYSAL BANK - TOT RETURN IND,FIRST HABIB MODARABA - TOT RETURN IND,GADOON TEXTILE MILLS - TOT RETURN IND,GHANI GLASS - TOT RETURN IND,GLAXOSMITHKLINE PAK. - TOT RETURN IND,GLXSK.CSM.HLTHCR. PAK. - TOT RETURN IND,GUL AHMED TEXTILE MILLS - TOT RETURN IND,HABIB BANK - TOT RETURN IND,HABIB METROPOLITAN BANK - TOT RETURN IND,HASCOL PETROLEUM - TOT RETURN IND,HONDA ATLAS CARS (PAKISTAN) - TOT RETURN IND,IBRAHIM FIBRES - TOT RETURN IND,ICI PAKISTAN - TOT RETURN IND,IGI HOLDINGS - TOT RETURN IND,INDUS MOTOR COMPANY - TOT RETURN IND,INTERNATIONAL INDS. - TOT RETURN IND,INTERNATIONAL STEELS - TOT RETURN IND,JUBILEE LIFE INSURANCE COMPANY - TOT RETURN IND,KARACHI ELECTRIC SUPP. - TOT RETURN IND,KOHAT CEMENT COMPANY - TOT RETURN IND,KOHINOOR TEXTILE MILLS - TOT RETURN IND,KOT ADDU POWER COMPANY - TOT RETURN IND,LOTTE CHEMICAL PAKISTAN - TOT RETURN IND,LUCKY CEMENT - TOT RETURN IND,MAPLE LEAF CEMENT FACTORY - TOT RETURN IND,MARI PETROLEUM COMPANY - TOT RETURN IND,MEEZAN BANK - TOT RETURN IND,MILLAT TRACTORS - TOT RETURN IND,MURREE BREWERY COMPANY - TOT RETURN IND,NAT.BANK OF PAKISTAN - TOT RETURN IND,NATIONAL FOODS - TOT RETURN IND,NATIONAL REFINERY - TOT RETURN IND,NESTLE PAKISTAN - TOT RETURN IND,NISHAT CHUNIAN - TOT RETURN IND,NISHAT CHUNIAN POWER - TOT RETURN IND,NISHAT MILLS - TOT RETURN IND,OIL & GAS DEVELOPMENT COMPANY - TOT RETURN IND,ORIX LEASING PAKISTAN - TOT RETURN IND,PACKAGES - TOT RETURN IND,PAK ELEKTRON - TOT RETURN IND,PAK SUZUKI MOTOR - TOT RETURN IND,PAK.TELECM.CO. - TOT RETURN IND,PAKISTAN OIL FIELDS - TOT RETURN IND,PAKISTAN PETROLEUM - TOT RETURN IND,PAKISTAN STATE OIL COMPANY - TOT RETURN IND,PAKISTAN STOCK EXCHANGE LTD. - TOT RETURN IND,PAKISTAN TOBACCO COMPANY - TOT RETURN IND,PHILIP MORRIS PAKISTAN - TOT RETURN IND,PIONEER CEMENT - TOT RETURN IND,SAIF POWER - TOT RETURN IND,SERVICE INDUSTRIES - TOT RETURN IND,SHELL PAKISTAN - TOT RETURN IND,SHIFU INTL HOSPITAL - TOT RETURN IND,STANDARD CHARTERED BANK (PAKISTAN) - TOT RETURN IND,SUI NORTHERN GAS PIPELINES - TOT RETURN IND,SUI SOUTHERN GAS COMPANY - TOT RETURN IND,SYSTEMS - TOT RETURN IND,THAL - TOT RETURN IND,THE BANK OF PUNJAB - TOT RETURN IND,THE HUB POWER COMPANY - TOT RETURN IND,THE SEARLE COMPANY - TOT RETURN IND,UNITED BANK - TOT RETURN IND
1483,5736,9873,1811,89,11608,26090,4522,51249,6314,1666,19615,1334,2111,2822,124,1567,48792,364,10029,165,9915,13466,403,280,379,337,392,13219,955,960,10311,982,74416,2120,379,12402,180,5051,462,11342,2327,2669,13734,27562,27860,450,4758,26,18432,1895,533,469,14076,88,45699,14716,306912,31195,4057,178333,919,28832,11760,589,7337,611,728,10055,240,1015,105,21094,3827,5923,59,30861,288379,147,92,5682,5830,12870,89,916,418,282,212273,229,6600,8756,1176
1502,5771,10079,1855,84,11596,26021,4446,50235,6301,1700,20135,1333,2133,2788,118,1523,46110,315,10240,165,9970,12838,393,289,393,331,391,13394,986,962,10656,989,77560,1971,392,11819,190,4973,469,12769,2432,2668,14511,27446,27888,469,4713,25,17157,1927,505,437,13391,75,45169,14816,312208,30178,4131,184003,996,30460,11871,587,7507,629,735,10027,234,903,101,21051,3839,6320,55,30638,303210,174,92,5636,5576,11997,91,865,402,283,220207,231,6542,8351,1175
1488,5538,9783,1853,84,11597,24830,4472,48578,6334,1609,20641,1306,2073,2652,126,1452,45809,324,10279,168,9487,12062,388,292,402,313,390,13531,962,956,10567,1027,76754,2107,412,11632,189,5038,455,11683,2323,2764,13896,26601,28161,499,4705,25,18136,1811,531,427,13312,77,47261,14808,317708,28735,4082,188945,1068,29965,11425,591,7642,630,695,10387,241,984,105,21179,3918,6387,48,30639,305491,189,96,5601,5842,12011,88,825,400,285,213281,226,6398,8542,1202
1492,5419,10217,1819,74,11564,26179,4457,47517,6281,1546,20353,1333,2049,2693,128,1408,46310,358,10518,168,9617,11062,382,281,405,298,384,13630,935,962,10755,1018,76280,2057,463,11146,194,4932,435,12363,2262,2867,13485,25331,26860,524,5123,23,19132,1762,504,417,13852,75,47410,14803,325951,27608,3982,190694,967,30106,11114,599,7793,641,701,10386,231,810,102,21079,3966,6054,50,31055,318005,191,95,5832,5603,12155,90,805,387,297,222013,221,6312,8475,1242
1490,5293,10253,1735,75,11913,27726,4318,46922,6386,1455,20562,1362,2044,2788,129,1569,44765,346,10310,164,9095,10285,403,277,390,280,365,13680,1020,958,10654,1054,77478,2073,444,10606,198,5011,423,12423,2468,2816,13458,24762,25003,496,5174,23,20200,1803,489,421,13639,73,46792,14995,344158,27558,3950,194275,933,30203,11490,571,7592,627,708,10347,229,733,100,20983,3919,5624,51,30953,319910,178,97,5971,5614,12979,89,773,402,304,226497,222,6553,8464,1216
1543,5178,10207,1640,76,11882,27216,4392,47793,5846,1438,21056,1367,2048,2923,133,1564,44247,350,10620,166,8581,9538,409,269,413,281,413,13980,1028,911,10588,1044,76178,2140,428,10078,203,5233,445,10934,2417,2942,13991,26576,24793,457,5278,23,19308,1786,474,447,14453,73,46516,15071,360699,26651,3860,196420,969,27847,11169,603,7706,632,722,10481,212,680,100,21003,3802,5606,52,29897,321599,188,98,6134,5104,12551,86,776,367,307,225988,212,6526,8599,1206
1567,5318,10517,1584,79,11973,26310,4383,44831,5818,1362,20751,1324,2065,2845,136,1743,44891,335,10437,166,8044,9150,410,267,438,269,419,14084,1042,923,10640,1088,70607,2028,427,9786,202,5054,418,11904,2403,3100,14419,28932,22699,475,4926,23,19273,1752,451,408,15292,73,46772,15592,356180,25755,3785,194964,1139,27290,10708,595,8008,624,704,10548,216,571,101,20978,3689,5842,53,29481,311414,200,100,6379,4232,11680,88,821,432,306,212790,191,6510,8545,1222
1581,5249,11128,1597,86,12068,27817,4424,45925,5649,1426,20381,1348,2055,2800,141,1811,41586,329,10575,169,7667,7255,411,282,432,265,376,13649,1018,921,10641,1099,66890,2032,418,9368,201,5278,442,13309,2407,3213,14245,29427,22694,467,4833,22,18235,1728,437,389,15251,72,47167,15883,377110,25110,3689,195647,1268,27315,10250,621,7857,638,686,10520,208,681,101,20565,3585,6125,54,29787,313417,183,102,6411,3926,11330,85,769,430,302,231343,181,6447,8571,1303
1561,5075,11320,1567,82,11544,28810,4445,46527,5566,1428,21374,1388,2139,2732,134,1942,44597,333,11242,166,7505,6477,414,272,431,248,356,13661,1084,950,10736,1099,66403,1860,422,9119,215,5169,503,13386,2460,3076,14084,29609,20205,428,4717,21,17694,1751,453,374,15886,73,46477,16170,376485,24163,3775,199296,1271,25643,10623,602,7682,637,693,10207,208,795,103,20871,3578,5800,54,29417,284502,152,104,6617,3857,11018,86,809,459,300,240834,191,6115,8686,1233
