Name,ALLIED BANK,MCB BANK,ABBOTT LABS.(PAK.),ADAMJEE INSURANCE COMPANY,AGP,AGRIAUTO INDUSTRIES,ARCHROMA PAKISTAN,ASKARI BANK,ATLAS HONDA,ATTOCK PETROLEUM,ATTOCK REFINERY,BANK AL HABIB,BANK AL-FALAH LIMITED,BANNU WOOLLEN MILLS,BESTWAY CEMENT,BYCO PETROLEUM PAKISTAN,CHERAT CEMENT COMPANY,COLGATE-PALMOLIVE PAKISTAN,D G KHAN CEMENT COMPANY,DAWOOD HRC.CHEMS.CORP.,DOLMEN CITY,EFU GENERAL INSURANCE,ENGRO,ENGRO FERTILIZERS,ENGRO FOODS,ENGRO POLYMER & CHEMICALS,FATIMA FERTILIZER,FAUJI CEMENT COMPANY,FAUJI FERTILIZER COMPANY,FAUJI FOODS,FAUJI FTLZ.BIN QASIM,FAYSAL BANK,FIRST HABIB MODARABA,GADOON TEXTILE MILLS,GHANI GLASS,GLAXOSMITHKLINE PAK.,GLXSK.CSM.HLTHCR. PAK.,GUL AHMED TEXTILE MILLS,HABIB BANK,HABIB METROPOLITAN BANK,HASCOL PETROLEUM,HONDA ATLAS CARS (PAKISTAN),IBRAHIM FIBRES,ICI PAKISTAN,IGI HOLDINGS,INDUS MOTOR COMPANY,INTERNATIONAL INDS.,INTERNATIONAL STEELS,JUBILEE LIFE INSURANCE COMPANY,KARACHI ELECTRIC SUPP.,KOHAT CEMENT COMPANY,KOHINOOR TEXTILE MILLS,KOT ADDU POWER COMPANY,LOTTE CHEMICAL PAKISTAN,LUCKY CEMENT,MAPLE LEAF CEMENT FACTORY,MARI PETROLEUM COMPANY,MEEZAN BANK,MILLAT TRACTORS,MURREE BREWERY COMPANY,NAT.BANK OF PAKISTAN,NATIONAL FOODS,NATIONAL REFINERY,NESTLE PAKISTAN,NISHAT CHUNIAN,NISHAT CHUNIAN POWER,NISHAT MILLS,OIL & GAS DEVELOPMENT COMPANY,ORIX LEASING PAKISTAN,PACKAGES,PAK ELEKTRON,PAK SUZUKI MOTOR,PAK.TELECM.CO.,PAKISTAN INTL.BULK,PAKISTAN OIL FIELDS,PAKISTAN PETROLEUM,PAKISTAN SERVICES,PAKISTAN STATE OIL COMPANY,PAKISTAN STOCK EXCHANGE LTD.,PAKISTAN TOBACCO COMPANY,PHILIP MORRIS PAKISTAN,PIONEER CEMENT,SAIF POWER,SERVICE INDUSTRIES,SHAKARGANJ SUGAR,SHELL PAKISTAN,SHIFU INTL HOSPITAL,STANDARD CHARTERED BANK (PAKISTAN),SUI NORTHERN GAS PIPELINES,SUI SOUTHERN GAS COMPANY,SEARL,UBL
4/7/1999,NA,36.74,118.19,150.43,NA,32.97,105.51,150.88,190.14,NA,157.87,95.42,NA,96.4,NA,NA,33.61,226.31,6.77,254.8,NA,76.31,494.65,NA,NA,NA,NA,40,136.51,78.05,48.64,140.23,16.05,155,42.42,NA,185.68,NA,69.41,NA,90.42,119.01,126.97,103.4,59.06,155.49,NA,54.26,45.76,37.74,5.72,NA,NA,56.67,4.18,95.82,NA,394.33,87.33,NA,286.67,38.71,269.2,60.15,NA,127.13,NA,73.38,345.44,3.07,49.99,47.48,56.61,NA,235.7,NA,53.5,780.24,6.55,NA,116,429.12,107.14,NA,28.82,40.35,NA,247.5,40.21,151.72,23.97,NA
4/14/1999,NA,35.45,118.19,143.89,NA,31.32,120.58,149.67,190.14,NA,157.87,96.64,NA,98.94,NA,NA,30.62,231.96,6.43,236.27,NA,87.21,442.99,NA,NA,NA,NA,37.5,133.44,75.61,46.65,140.23,16.05,143.33,41.06,NA,185.68,NA,69.41,NA,83.47,114.85,122.39,107.45,54.3,155.49,NA,56.74,42.51,37.74,5.72,NA,NA,54.17,3.9,98.81,NA,394.33,87.33,NA,286.67,38.37,307.66,60.15,NA,121.21,NA,73.38,349.98,5,49.99,44.06,56.61,NA,237.16,NA,53.5,794.42,6.18,NA,116,405.89,97.14,NA,27.58,36.64,NA,247.5,37.4,152.19,23.55,NA
4/21/1999,NA,37.33,118.19,171.92,NA,40.38,120.58,150.88,190.14,NA,157.87,97.86,NA,98.94,NA,NA,36.11,231.96,7.28,231.64,NA,87.21,421.9,NA,NA,NA,NA,40,133.19,75,46.43,149.9,15.5,153.33,41.06,NA,185.68,NA,69.41,NA,83.47,121.51,119.78,107.45,56.25,155.49,NA,54.96,42.74,37.74,5.54,NA,NA,56.67,4.25,96.42,NA,402.99,87.33,NA,286.67,37.71,340.38,56.14,NA,124.17,NA,73.38,359.07,5,50.41,45.5,56.61,NA,257.46,NA,53.5,794.42,6.55,NA,116,421.46,95.71,NA,28.04,37.3,NA,247.5,37.4,153.14,23.97,NA
4/28/1999,NA,39.64,122.13,174.72,NA,50.27,120.58,155.69,190.14,NA,157.87,97.86,NA,101.48,NA,NA,34.94,231.96,7.19,236.27,NA,87.21,454.35,NA,NA,NA,NA,39.37,132.16,74.7,46.43,145.07,15.2,183.33,46.39,NA,185.68,NA,69.41,NA,90.42,119.85,121.74,107.45,62.74,155.49,NA,54.96,42.74,37.74,5.17,NA,NA,50.83,4.11,97.32,NA,402.99,87.33,NA,286.67,38.37,340.38,60.15,NA,120.03,NA,70.45,364.98,5,48.73,53,56.61,NA,264.89,NA,55.83,794.42,6.18,NA,116,422.48,124.29,NA,28.51,37.3,NA,264,37.21,156.44,24.3,NA
5/5/1999,NA,41.69,134.34,178.46,NA,62.64,105.51,174.32,190.14,NA,157.87,99.09,NA,101.48,NA,NA,41.6,231.96,7.36,243.22,NA,87.21,477.88,NA,NA,NA,NA,48.12,140.6,79.27,45.98,145.07,16.84,175,45.23,NA,160.21,NA,69.41,NA,92.51,126.5,130.9,120.66,65.33,155.49,NA,56.74,44.13,37.74,5.54,NA,NA,56.67,4.32,113.79,NA,433.33,87.33,NA,265.9,44.05,328.64,61.35,NA,127.86,NA,70.45,382.25,4.95,48.73,53.4,56.61,NA,295.33,NA,55.83,794.42,6.8,NA,116,444.31,114.29,NA,28.82,39.7,NA,280.5,36.64,167.27,24.55,NA
5/12/1999,NA,42.12,134.34,170.58,NA,51.92,105.51,158.09,199.65,NA,157.87,97.86,NA,121.77,NA,NA,46.42,230.55,8.12,233.95,NA,91.02,440.83,NA,NA,NA,NA,43.12,138.81,77.44,46.43,152.32,17.94,183.33,45.23,NA,158.57,NA,67.59,NA,86.95,122.34,136.14,120.66,65.77,155.49,NA,54.96,46.22,41.51,6.83,NA,NA,60,4.53,118.28,NA,459.33,84.21,NA,265.9,43.38,328.64,64.16,NA,133.48,NA,76.32,381.34,4.95,48.73,58.53,56.61,NA,320.77,NA,54.66,794.42,7.41,NA,116,457.07,114.29,NA,28.66,42.53,NA,255.75,35.24,175.75,24.05,NA
5/19/1999,NA,39.9,134.34,154.83,NA,55.22,84.41,164.7,209.16,NA,157.87,97.37,NA,136.99,NA,NA,47.92,213.58,9.9,243.22,NA,92.66,451.65,NA,NA,NA,NA,48.12,142.9,78.66,46.65,152.32,16.34,216.67,45.23,NA,158.57,NA,71.24,NA,89.03,129,164.94,109.69,65.77,153.91,NA,53.9,50.17,41.51,5.54,NA,NA,76.67,5.36,118.28,NA,463.66,77.97,NA,265.9,50.05,375.59,68.17,NA,137,NA,76.32,390.89,4.95,48.73,64.84,56.61,NA,405.28,NA,54.66,794.42,8.28,NA,110.34,493.96,114.29,NA,33.47,46.67,NA,280.5,42.58,183.29,24.22,NA
5/26/1999,NA,40.84,134.34,153.36,NA,51.1,105.51,165.9,209.16,NA,157.87,93.7,NA,152.22,NA,NA,45.76,213.58,8.8,243.22,NA,92.66,444.89,NA,NA,NA,NA,43.75,135.87,78.35,47.31,147.49,15.95,183.33,46.33,NA,158.57,NA,69.41,NA,84.16,131.5,171.48,109.69,63.17,153.91,NA,60.28,54.12,45.28,5.54,NA,NA,66.67,5.08,113.79,NA,519.99,77.97,NA,299.14,47.05,492.96,68.97,NA,144.02,NA,79.25,409.07,5.19,44.28,69.18,55.59,NA,363.33,NA,56.06,794.42,7.41,NA,110.34,459.5,114.29,NA,36.72,50.16,NA,247.5,44.44,179.05,24.39,NA
6/2/1999,NA,35.88,134.34,130.81,NA,42.86,113.05,154.48,209.16,NA,157.87,92.97,NA,152.22,NA,NA,40.1,184.58,7.78,229.9,NA,92.11,419.46,NA,NA,NA,NA,41.25,128.46,71.65,43.11,145.07,14.95,183.33,42.97,NA,158.57,NA,69.41,NA,76.51,129.83,126.32,109.69,60.58,153.91,NA,53.19,49.47,45.28,8.31,NA,NA,66.67,4.46,113.79,NA,519.99,77.97,NA,282.52,42.38,328.64,70.18,NA,139.1,NA,79.25,390.89,4.95,42.01,62.73,55.59,NA,308.05,NA,47.69,794.42,6.18,NA,110.34,431.42,114.29,NA,34.4,43.4,NA,264,34.73,159.26,22.12,NA
6/9/1999,NA,35.03,134.34,130.81,NA,41.21,113.05,150.28,209.16,NA,157.87,92.97,NA,152.22,NA,NA,42.43,183.87,7.62,208.47,NA,82.57,416.49,NA,NA,NA,NA,39.37,131.14,70.12,42.45,145.07,15.45,183.33,42.91,NA,158.57,NA,69.41,NA,79.29,116.52,111.27,109.69,58.63,153.91,NA,53.19,46.22,45.28,8.31,NA,NA,56.67,4.32,110.79,NA,563.32,77.97,NA,274.21,40.04,347.42,70.18,NA,135.59,NA,67.51,381.8,5,42.01,54.71,55.59,NA,292.6,NA,58.15,794.42,7.17,NA,110.34,421.84,114.29,NA,34.09,40.35,NA,264,32.45,139,22.2,NA
6/16/1999,NA,35.03,131.79,123.89,NA,42.03,107.72,147.87,199.65,NA,157.87,88.08,NA,152.22,NA,NA,39.93,183.87,7.45,232.8,NA,82.57,414.05,NA,NA,NA,NA,38.12,117.49,73.17,40.9,145.07,15.65,216.67,41.75,NA,158.57,NA,64.12,NA,71.29,118.18,109.3,109.69,56.68,153.91,NA,53.19,43.67,45.28,7.94,NA,NA,73.33,4.18,90.43,NA,519.99,93.57,NA,274.21,40.71,319.25,64.16,NA,132.78,NA,70.45,363.62,4.85,42.01,51.55,55.59,NA,279.58,NA,58.15,794.42,5.93,NA,121.37,421.21,114.29,NA,31.89,38.17,NA,264,29.77,132.4,21.78,NA
6/23/1999,NA,35.37,130.38,110.44,NA,41.21,104,141.26,194.9,NA,123.43,88.81,NA,152.22,NA,NA,41.6,183.87,7.02,232.8,NA,85.16,402.15,NA,NA,NA,NA,36.25,105.11,67.68,39.13,145.07,15.65,216.67,42.62,NA,158.57,NA,64.12,NA,71.64,111.52,104.72,103.55,50.41,153.91,NA,53.19,39.25,59.25,7.94,NA,NA,68.33,4.25,101.81,NA,519.99,93.57,NA,274.21,38.71,352.12,66.57,NA,124.35,NA,76.32,363.62,4.7,42.01,51.03,55.08,NA,273.82,NA,54.66,794.42,5.93,NA,121.37,408.44,114.29,NA,28.86,35.99,NA,247.5,27.6,120.15,20.6,NA
6/30/1999,NA,37.08,130.38,113.31,NA,39.56,104.37,143.06,183.01,NA,123.43,90.03,NA,152.22,NA,NA,43.26,183.87,7.02,249.95,NA,85.16,392.15,NA,NA,NA,NA,36.87,108.44,67.99,40.46,135.4,15.7,200,40.59,NA,158.57,NA,64.85,NA,75.82,116.52,115.85,136.02,53.22,153.91,NA,67.38,39.72,59.25,7.94,NA,NA,58.33,3.97,107.2,NA,519.99,93.57,NA,274.21,39.71,328.64,66.97,NA,133.48,NA,76.32,372.71,4.7,42.01,52.21,55.08,NA,280.18,NA,54.43,780.24,6.3,NA,121.37,418.65,114.29,NA,29.75,37.51,NA,247.5,27.39,132.88,20.35,NA
7/7/1999,NA,38.84,117.71,124.49,NA,36.26,104.37,149.07,183.49,NA,123.43,83.92,NA,152.22,NA,NA,44.09,226.31,7.45,247.5,NA,85.16,386.2,NA,NA,NA,NA,37.5,118.42,70.43,39.79,132.98,15.6,200,41.17,NA,158.57,NA,65.76,NA,76.51,119.85,121.74,120.66,57.11,152.32,NA,55.32,44.13,59.25,7.94,NA,NA,76.67,4.18,107.8,NA,519.99,81.09,NA,274.21,42.71,352.12,66.97,NA,129.97,NA,76.32,377.25,4.7,42.01,53.92,55.08,NA,341.06,NA,62.81,780.24,6.8,NA,121.37,433.97,114.29,NA,30.47,38.82,NA,247.5,31.32,159.26,22.7,NA
